Month,Peak,Gain,% Gain,Average,Avg % Gain
Last 30 days,23,-7,-23.3%,5,-44.4%
May 2025,30,+6,+25.0%,9,+28.6%
April 2025,24,-14,-36.8%,7,-50.0%
March 2025,38,+10,+35.7%,14,+180.0%
February 2025,28,+3,+12.0%,5,-16.7%
January 2025,25,0,+0.0%,6,-14.3%
December 2024,25,+6,+31.6%,7,+75.0%
November 2024,19,-6,-24.0%,4,-33.3%
October 2024,25,+10,+66.7%,6,+100.0%
September 2024,15,-10,-40.0%,3,-50.0%
August 2024,25,+6,+31.6%,6,+20.0%
July 2024,19,-3,-13.6%,5,-16.7%
June 2024,22,-1,-4.3%,6,+0.0%
May 2024,23,+9,+64.3%,6,+50.0%
April 2024,14,-5,-26.3%,4,-20.0%
March 2024,19,-11,-36.7%,5,-16.7%
February 2024,30,+12,+66.7%,6,+20.0%
January 2024,18,-19,-51.4%,5,-37.5%
December 2023,37,+14,+60.9%,8,+100.0%
November 2023,23,+8,+53.3%,4,+0.0%
October 2023,15,-16,-51.6%,4,-50.0%
September 2023,31,+15,+93.8%,8,+100.0%
August 2023,16,-16,-50.0%,4,-50.0%
July 2023,32,-5,-13.5%,8,+0.0%
June 2023,37,+26,+236.4%,8,+166.7%
May 2023,11,-4,-26.7%,3,-25.0%
April 2023,15,-8,-34.8%,4,-42.9%
March 2023,23,+9,+64.3%,7,+133.3%
February 2023,14,-4,-22.2%,3,-40.0%
January 2023,18,-4,-18.2%,5,-16.7%
December 2022,22,0,+0.0%,6,+20.0%
November 2022,22,-8,-26.7%,5,-16.7%
October 2022,30,+7,+30.4%,6,-
September 2022,23,+2,+9.5%,-,-
August 2022,21,-2,-8.7%,-,-
July 2022,23,-14,-37.8%,-,-
June 2022,37,+24,+184.6%,-,-
May 2022,13,-2,-13.3%,-,-
April 2022,15,-14,-48.3%,-,-
March 2022,29,+10,+52.6%,-,-
February 2022,19,-7,-26.9%,-,-
January 2022,26,-17,-39.5%,-,-
December 2021,43,+24,+126.3%,-,-
November 2021,19,-12,-38.7%,-,-
October 2021,31,+11,+55.0%,-,-
September 2021,20,-9,-31.0%,-,-
August 2021,29,0,+0.0%,-,-
July 2021,29,-3,-9.4%,-,-
June 2021,32,+16,+100.0%,-,-
May 2021,16,-4,-20.0%,-,-
April 2021,20,-15,-42.9%,-,-
March 2021,35,-1,-2.8%,-,-
February 2021,36,-5,-12.2%,-,-
January 2021,41,+12,+41.4%,-,-
December 2020,29,-3,-9.4%,-,-
November 2020,32,-62,-66.0%,-,-
October 2020,94,+76,+422.2%,-,-
September 2020,18,-6,-25.0%,-,-
August 2020,24,-15,-38.5%,-,-
July 2020,39,+6,+18.2%,-,-
June 2020,33,-17,-34.0%,-,-
May 2020,50,+5,+11.1%,-,-
April 2020,45,-53,-54.1%,-,-
March 2020,98,+65,+197.0%,-,-
February 2020,33,-50,-60.2%,-,-
January 2020,83,+51,+159.4%,-,-
December 2019,32,+2,+6.7%,-,-
November 2019,30,-6,-16.7%,-,-
October 2019,36,+15,+71.4%,-,-
September 2019,21,-50,-70.4%,-,-
August 2019,71,+39,+121.9%,-,-
July 2019,32,-2,-5.9%,-,-
June 2019,34,-20,-37.0%,-,-
May 2019,54,+21,+63.6%,-,-
April 2019,33,-56,-62.9%,-,-
March 2019,89,+55,+161.8%,-,-
February 2019,34,-14,-29.2%,-,-
January 2019,48,-67,-58.3%,-,-
December 2018,115,+67,+139.6%,-,-
November 2018,48,+22,+84.6%,-,-
October 2018,26,-86,-76.8%,-,-
September 2018,112,+86,+330.8%,-,-
August 2018,26,-22,-45.8%,-,-
July 2018,48,-2,-4.0%,-,-
June 2018,50,-93,-65.0%,-,-
May 2018,143,+111,+346.9%,-,-
April 2018,32,-90,-73.8%,-,-
March 2018,122,+76,+165.2%,-,-
February 2018,46,-24,-34.3%,-,-
January 2018,70,+13,+22.8%,-,-
December 2017,57,+1,+1.8%,-,-
November 2017,56,-7,-11.1%,-,-
October 2017,63,-116,-64.8%,-,-
September 2017,179,+155,+645.8%,-,-
August 2017,24,-59,-71.1%,-,-
July 2017,83,+29,+53.7%,-,-
June 2017,54,+35,+184.2%,-,-
May 2017,19,-9,-32.1%,-,-
April 2017,28,-22,-44.0%,-,-
March 2017,50,+24,+92.3%,-,-
February 2017,26,-29,-52.7%,-,-
January 2017,55,-13,-19.1%,-,-
December 2016,68,+19,+38.8%,-,-
November 2016,49,+27,+122.7%,-,-
October 2016,22,-2,-8.3%,-,-
September 2016,24,+2,+9.1%,-,-
August 2016,22,-29,-56.9%,-,-
July 2016,51,-36,-41.4%,-,-
June 2016,87,+57,+190.0%,-,-
May 2016,30,-34,-53.1%,-,-
April 2016,64,-94,-59.5%,-,-
March 2016,158,+18,+12.9%,-,-
February 2016,140,+85,+154.5%,-,-
January 2016,55,+9,+19.6%,-,-
December 2015,46,+21,+84.0%,-,-
November 2015,25,-32,-56.1%,-,-
October 2015,57,+32,+128.0%,-,-
September 2015,25,-8,-24.2%,-,-
August 2015,33,-4,-10.8%,-,-
July 2015,37,-11,-22.9%,-,-
June 2015,48,-157,-76.6%,-,-
May 2015,205,-385,-65.3%,-,-
April 2015,590,+1,+0.2%,-,-
March 2015,589,-,-,-,-
